opa_no,principal,interest,penalty,other_due,total_due,accurate_date
364216200,$741.02,$44.46,$0.00,$0.00,$785.48,07/02/2015
562149600,"$2,730.92",$163.86,$0.00,$0.00,"$2,894.78",07/02/2015
581200800,($47.66),$0.00,$0.00,$0.00,($47.66),07/02/2015
422106300,$47.26,$2.84,$0.00,$0.00,$50.10,07/02/2015
252269500,$527.96,$31.68,$0.00,$0.00,$559.64,07/02/2015
331019700,$514.56,$30.87,$0.00,$0.00,$545.43,07/02/2015
332085200,"$1,094.78",$65.69,$0.00,$0.00,"$1,160.47",07/02/2015
072206100,$723.60,$43.42,$0.00,$0.00,$767.02,07/02/2015
062109510,($0.99),$0.00,$0.00,$0.00,($0.99),07/02/2015
062109600,($0.39),($6.71),$0.01,$0.02,($7.07),07/02/2015
111151900,$474.36,$28.46,$0.00,$0.00,$502.82,07/02/2015
442335800,$0.00,$14.23,$0.00,$0.00,$14.23,07/02/2015
032026600,$329.14,$19.75,$0.00,$0.00,$348.89,07/02/2015
131416000,$565.48,$33.93,$0.00,$0.00,$599.41,07/02/2015
342241000,"$1,318.56",$79.11,$0.00,$0.00,"$1,397.67",07/02/2015
406644614,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
471108300,"$1,274.34",$76.46,$0.00,$0.00,"$1,350.80",07/02/2015
043124100,$839.03,($27.92),$78.25,$0.01,$889.37,07/02/2015
292132500,$26.80,$1.61,$0.00,$0.00,$28.41,07/02/2015
132088000,$730.30,$43.82,$0.00,$0.00,$774.12,07/02/2015
042071300,$423.44,$25.41,$0.00,$0.00,$448.85,07/02/2015
081028300,"$10,086.18",$605.17,$0.00,$0.00,"$10,691.35",07/02/2015
331015100,$503.84,$30.23,$0.00,$0.00,$534.07,07/02/2015
352035300,$12.35,$0.74,$0.00,$0.00,$13.09,07/02/2015
352038900,$0.00,$35.42,$0.00,$0.00,$35.42,07/02/2015
421281500,$809.36,$48.56,$0.00,$0.00,$857.92,07/02/2015
541188900,$422.74,$79.36,$0.00,$0.00,$502.10,07/02/2015
871533450,$940.68,$56.44,$0.00,$0.00,$997.12,07/02/2015
882920841,"$2,413.34",$144.80,$0.00,$0.00,"$2,558.14",07/02/2015
331291100,$529.30,$31.76,$0.00,$0.00,$561.06,07/02/2015
301374300,"$2,737.62",$164.26,$0.00,$0.00,"$2,901.88",07/02/2015
361026900,"$1,846.52",$110.79,$0.00,$0.00,"$1,957.31",07/02/2015
871171300,$868.32,$52.10,$0.00,$0.00,$920.42,07/02/2015
482093200,$974.18,$58.45,$0.00,$0.00,"$1,032.63",07/02/2015
041231200,$864.30,$51.86,$0.00,$0.00,$916.16,07/02/2015
884349110,$749.06,$32.17,$12.77,$0.00,$794.00,07/02/2015
451205900,$975.81,$58.55,$0.00,$0.00,"$1,034.36",07/02/2015
888055082,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
342263000,$469.25,$46.16,$0.00,$0.00,$515.41,07/02/2015
432072900,$281.70,$16.90,$0.00,$0.00,$298.60,07/02/2015
073270500,$422.10,$11.27,$14.06,$0.00,$447.43,07/02/2015
073091600,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
463026000,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
491287100,$0.00,$0.00,$0.00,$0.00,$0.00,07/02/2015
252065400,$211.72,$12.61,$0.09,$0.00,$224.42,07/02/2015
151145200,"$3,975.80",$238.53,$0.00,$0.00,"$4,214.33",07/02/2015
631264500,$0.02,($0.02),$0.00,$0.00,$0.00,07/02/2015
162099800,$33.50,$2.01,$0.00,$0.00,$35.51,07/02/2015
395033800,"$2,082.36",$124.94,$0.00,$0.00,"$2,207.30",07/02/2015
412363500,$797.58,$47.85,$0.00,$0.00,$845.43,07/02/2015
121035200,$777.68,$48.22,$0.00,$0.00,$825.90,07/02/2015
